assessment_name,url,description,test_type,category
Microsoft Outlook 2013 (adaptive),https://www.shl.com/products/product-catalog/view/microsoft-outlook-2013-adaptive/,,K,General
Microsoft PowerPoint 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-powerpoint-365-essentials-new/,,K,General
Microsoft SQL Server 2014 Programming,https://www.shl.com/products/product-catalog/view/microsoft-sql-server-2014-programming/,,K,General
Microsoft Windows Server 2012 Administration,https://www.shl.com/products/product-catalog/view/microsoft-windows-server-2012-administration/,,K,General
Microsoft Word 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-word-365-essentials-new/,,K,General
Microsoft Word 365 (New),https://www.shl.com/products/product-catalog/view/microsoft-word-365-new/,,K,General
Mineral Engineering (New),https://www.shl.com/products/product-catalog/view/mineral-engineering-new/,,K,General
Mining Engineering (New),https://www.shl.com/products/product-catalog/view/mining-engineering-new/,,K,General
Mobility (New),https://www.shl.com/products/product-catalog/view/mobility-new/,,K,General
Molecular Biology (New),https://www.shl.com/products/product-catalog/view/molecular-biology-new/,,K,General
MongoDB (New),https://www.shl.com/products/product-catalog/view/mongodb-new/,,K,General
Motivation Questionnaire MQM5,https://www.shl.com/products/product-catalog/view/motivation-questionnaire-mqm5/,,K,General
MQ Candidate Motivation Report,https://www.shl.com/products/product-catalog/view/mq-candidate-motivation-report/,,K,General
MQ Employee Motivation Report,https://www.shl.com/products/product-catalog/view/mq-employee-motivation-report/,,K,General
MQ Motivation Report Pack,https://www.shl.com/products/product-catalog/view/mq-motivation-report-pack/,,K,General
MQ Profile,https://www.shl.com/products/product-catalog/view/mq-profile/,,K,General
MS Access (New),https://www.shl.com/products/product-catalog/view/ms-access-new/,,K,General
MS Excel (New),https://www.shl.com/products/product-catalog/view/ms-excel-new/,,K,General
MS Office Basic Computer Literacy (New),https://www.shl.com/products/product-catalog/view/ms-office-basic-computer-literacy-new/,,K,General
MS Office Basic Computer Literacy (Sim) (New),https://www.shl.com/products/product-catalog/view/ms-office-basic-computer-literacy-sim-new/,,K,General
MS PowerPoint (New),https://www.shl.com/products/product-catalog/view/ms-powerpoint-new/,,K,General
MS Word (New),https://www.shl.com/products/product-catalog/view/ms-word-new/,,K,General
MuleSoft Development (New),https://www.shl.com/products/product-catalog/view/mulesoft-development-new/,,K,General
Multitasking Ability,https://www.shl.com/products/product-catalog/view/multitasking-ability/,,K,General
Networking and Implementation (New),https://www.shl.com/products/product-catalog/view/networking-and-implementation-new/,,K,General
Node.js (New),https://www.shl.com/products/product-catalog/view/node-js-new/,,K,General
Nursing (New),https://www.shl.com/products/product-catalog/view/nursing-new/,,K,General
Occupational Personality Questionnaire OPQ32r,https://www.shl.com/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,,K,General
Operations Management (New),https://www.shl.com/products/product-catalog/view/operations-management-new/,,K,General
OPQ Candidate Plus Report,https://www.shl.com/products/product-catalog/view/opq-candidate-plus-report/,,K,General
OPQ Candidate Report 2.0,https://www.shl.com/products/product-catalog/view/opq-candidate-report-2-0/,,K,General
OPQ Emotional Intelligence Report,https://www.shl.com/products/product-catalog/view/opq-emotional-intelligence-report/,,K,General
OPQ Leadership Report,https://www.shl.com/products/product-catalog/view/opq-leadership-report/,,K,General
OPQ Manager Plus Report,https://www.shl.com/products/product-catalog/view/opq-manager-plus-report/,,K,General
OPQ Manager Plus Report 2.0,https://www.shl.com/products/product-catalog/view/opq-manager-plus-report-2-0/,,K,General
OPQ Maximising your Learning Report,https://www.shl.com/products/product-catalog/view/opq-maximising-your-learning-report/,,K,General
OPQ MQ Sales Report,https://www.shl.com/products/product-catalog/view/opq-mq-sales-report/,,K,General
OPQ Premium Plus Report,https://www.shl.com/products/product-catalog/view/opq-premium-plus-report/,,K,General
OPQ Premium Plus Report 2.0,https://www.shl.com/products/product-catalog/view/opq-premium-plus-report-2-0/,,K,General
OPQ Profile Report,https://www.shl.com/products/product-catalog/view/opq-profile-report/,,K,General
OPQ Team Impact Group Development Report,https://www.shl.com/products/product-catalog/view/opq-team-impact-group-development-report/,,K,General
OPQ Team Impact Individual Development Report,https://www.shl.com/products/product-catalog/view/opq-team-impact-individual-development-report/,,K,General
OPQ Team Impact Selection Report,https://www.shl.com/products/product-catalog/view/opq-team-impact-selection-report/,,K,General
OPQ Team Types & Leadership Styles Profile,https://www.shl.com/products/product-catalog/view/opq-team-types-and-leadership-styles-profile/,,K,General
OPQ Team Types and Leadership Styles Report,https://www.shl.com/products/product-catalog/view/opq-team-types-and-leadership-styles-report/,,K,General
